Source,Which of the following time periods best describes when your house was built?,What do you know about the architecture of the house?,Select the best option which describes your house.,How many stories does your house have?,State the area of your house in square feet?,Relationship to the head of the household,Gender,Current attendance at school or other educational institution,Main occupation,How much is your household's average monthly expenditure for food? (in Rupees),How much is your household's average monthly expenditure for non food? (in Rupees),What is the best representation of the major material your outside walls are made of?,Which of the following options does your house use for ventilation and lighting other than windows and doors (only indoors)?,What is the major type of roof installation used in your house (on the highest floor)?,"Nearly how many red notices did you receive last year?
(A red notice is issued for failing to settle outstanding bills during a certain period)",Which of the below is true regarding your normal bill payment practice (example given when the bill is Rs 4566)?,Was your wiring done by a professional electrician?,Which of the following do you use in your household for generating electricity?,"If using solar energy, which of the following purposes do you use solar energy inside your house?",Which of the following can most accurately describe your know-how in electricity bill calculation?,Which of the following best describes your behaviour of ironing clothes?,Which of the following best describes your behaviour regarding night lighting considering the whole house?,Do you check your electricity meter for overconsumption?,Do you look at the energy rating of an appliance when buying one?,Which district you are residing?
Online,2000 - 2009,The house was designed by a certified architect,Single House - Above double floor,3,2800,Son/daughter,Male,Does not attend,Professional,110000,100000,Brick,None,Asbestos,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600,Yes,Electricity grid power,Not using solar energy,I got to know through another mean,We iron the cloths daily,We keep less than two-night lights on when sleeping,"Yes, some of the months",Yes,Colombo
Online,1980 - 1989,"House was not specifically designed by an architect, but the plan was inspected by a certified architect/engineer",Single House - Single Floor,1,0,Son/daughter,Female,University,Professional,50000,30000,Cement Block,Transparent roofing parts,Asbestos,2,I try to pay a rounded-off amount which is mostly lower than the bill (ex: 4500),Yes,Electricity grid power,Not using solar energy,One of my family members taught me how the bill is calculated,We iron when and where the need arises,We don’t keep any of the lights on when sleeping,"Yes, some of the months",Yes,Ratnapura
Online,After 2019,The house was designed by a certified architect,Single House - Single Floor,1,400,Son/daughter,Male,Does not attend,Professional,50000,30000,Cement Block,Transparent walls (clear glass/ semi-transparent glass),Asbestos,2,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600,Yes,Electricity grid power,Not using solar energy,I am not aware of how the bill is calculated,We iron when and where the need arises,We don’t keep any of the lights on when sleeping,"Rarely, once a year",Yes,Colombo
Online,1990 - 1999,The house was designed by a certified architect,Single House - Above double floor,3,1400,Son/daughter,Male,Vocational/Technical Institution,Professional,40000,50000,Brick,"Pergolas, Window walls (the wall is covered more than 80% by windows)",Asbestos,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600,Yes,Electricity grid power,Not using solar energy,LECO/ CEB described to me how the bill is calculated,We iron the cloths daily,We keep less than two-night lights on when sleeping,"Rarely, once a year",Yes,Kalutara
Online,2000 - 2009,No such professional designing was done; the house was designed to suit our needs and wants,Single House -Double Floor,2,1200,Wife/Husband,Male,University,Professional,40000,20000,Brick,Other,Asbestos,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600,No,Electricity grid power,Not using solar energy,I learnt the calculation by reading the monthly bill,We iron the cloths daily,We keep less than two-night lights on when sleeping,"Yes, every month",Yes,Kalutara
Online,1990 - 1999,The house was designed by a certified architect,Single House - Single Floor,1,1500,Wife/Husband,Female,University,Professional,60000,70000,Brick,Window walls (the wall is covered more than 80% by windows),Tile,8,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600,Yes,Electricity grid power,Not using solar energy,I got to know through the media,We iron our clothes twice a week,We keep less than two-night lights on when sleeping,"Yes, every month",No,Matara
Online,1980 - 1989,"House was not specifically designed by an architect, but the plan was inspected by a certified architect/engineer",Single House - Above double floor,2,3000,Son-in-law/Daughter in law,Male,Does not attend,Professional,30000,40000,Cement Block,Other,Asbestos,0,I try to pay the exact amount in the bill (ex: 4566),Yes,Electricity grid power,Not using solar energy,I got to know through another mean,We iron when and where the need arises,We keep less than two-night lights on when sleeping,Never,No,Matara
Online,1990 - 1999,No such professional designing was done; the house was designed to suit our needs and wants,Single House - Single Floor,1,150,Wife/Husband,Female,University,Professional,35000,20000,Brick,Window walls (the wall is covered more than 80% by windows),Tile,1,I try to pay the exact amount in the bill (ex: 4566),Yes,Electricity grid power,"Agriculture equipment and systems (irrigation systems, etc), Outdoor lighting",LECO/ CEB described to me how the bill is calculated,We iron when and where the need arises,We keep less than two-night lights on when sleeping,"Yes, every month",Yes,Matara
Online,2010 - 2019,No such professional designing was done; the house was designed to suit our needs and wants,Single House - Single Floor,1,1200,Head of the household,Male,University,Professional,80000,50000,Cement Block,None,Asbestos,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600,Yes,Electricity grid power,Not using solar energy,I learnt the calculation by reading the monthly bill,We iron our clothes twice a week,We keep less than two-night lights on when sleeping,"Yes, some of the months",Yes,Kandy
Online,After 2019,The house was designed by a certified architect,Single House -Double Floor,2,2600,Head of the household,Male,University,"Legislator, senior official, and manager",25000,10000,Cement Block,Pergolas,Concrete,0,I try to pay the exact amount in the bill (ex: 4566),Yes,Electricity grid power,Not using solar energy,I learnt the calculation by reading the monthly bill,We iron when and where the need arises,We don’t keep any of the lights on when sleeping,"Yes, some of the months",Yes,Kalutara
Online,2010 - 2019,The house was designed by a certified architect,Single House -Double Floor,1,2100,Wife/Husband,Female,University,Professional,45000,40000,Brick,Window walls (the wall is covered more than 80% by windows),Asbestos,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600,Yes,Electricity grid power,Not using solar energy,LECO/ CEB described to me how the bill is calculated,We iron our clothes twice a week,We keep less than two-night lights on when sleeping,"Yes, every month",Yes,Matara
Online,Before 1980,I am not aware of it,Single House - Single Floor,1,0,Son/daughter,Male,University,Professional,60000,100000,Cement Block,None,Asbestos,0,I try to pay the exact amount in the bill (ex: 4566),I am not aware of it,Electricity grid power,Not using solar energy,I got to know through the media,We iron the cloths daily,We keep less than two-night lights on when sleeping,Never,No,Gampaha
Online,1990 - 1999,No such professional designing was done; the house was designed to suit our needs and wants,Single House -Double Floor,2,4000,Son/daughter,Male,Does not attend,Professional,50000,100000,Cement Block,None,Asbestos,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600,Yes,Electricity grid power,Not using solar energy,One of my family members taught me how the bill is calculated,We iron when and where the need arises,We keep less than two-night lights on when sleeping,"Yes, every month",Yes,Kurunegala
Online,1990 - 1999,"House was not specifically designed by an architect, but the plan was inspected by a certified architect/engineer",Single House -Double Floor,2,2600,Son/daughter,Female,Does not attend,Professional,35000,150000,Brick,Transparent roofing parts,Tile,0,I try to pay a rounded-off amount which is mostly lower than the bill (ex: 4500),Yes,Electricity grid power,Not using solar energy,I got to know through another mean,We iron when and where the need arises,We keep less than two-night lights on when sleeping,"Yes, every month",Yes,Matara
Online,2010 - 2019,The house was designed by a certified architect,Single House - Single Floor,1,2000,Head of the household,Male,University,"Legislator, senior official, and manager",40000,20000,Cement Block,None,Asbestos,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600,Yes,Electricity grid power,Not using solar energy,I got to know through the media,We iron the cloths daily,We keep less than two-night lights on when sleeping,Never,Yes,Gampaha
Online,2010 - 2019,House was designed barely to pass the statutory requirements of the local authorities,Single House -Double Floor,2,2000,Head of the household,Male,University,Professional,150000,150000,Cement Block,Window walls (the wall is covered more than 80% by windows),Concrete,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600,Yes,"Electricity grid power, Solar Energy","Water heating, Outdoor lighting, Cooking",I learnt the calculation by reading the monthly bill,We iron our clothes twice a week,We keep less than two-night lights on when sleeping,"Yes, some of the months",Yes,Colombo
Online,Before 1980,No such professional designing was done; the house was designed to suit our needs and wants,Single House - Single Floor,1,650,Another relative,Male,School,Technician and associate professional,100000,100000,Brick,Transparent walls (clear glass/ semi-transparent glass),Tile,12,I try to pay a portion of my bill amount that is possible for me (ex: 3500),Yes,Electricity grid power,Not using solar energy,I am not aware of how the bill is calculated,We iron when and where the need arises,We don’t keep any of the lights on when sleeping,"Yes, every month",No,Gampaha
Online,1990 - 1999,The house was designed by a certified architect,Single House - Single Floor,1,4000,Son/daughter,Male,University,Professional,30000,30000,Brick,None,Tile,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600,Yes,Mini Hydropower,Not using solar energy,I got to know through the media,We iron when and where the need arises,We keep more than two lights on when sleeping,"Yes, some of the months",Yes,Kalutara
Online,2010 - 2019,The house was designed by a certified architect,Single House -Double Floor,2,4000,Other,Female,Does not attend,Professional,50000,30000,Cement Block,"Transparent walls (clear glass/ semi-transparent glass), Window walls (the wall is covered more than 80% by windows)",Asbestos,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600,I am not aware of it,None of the above,Other,I got to know through the media,We iron when and where the need arises,We don’t keep any of the lights on when sleeping,"Yes, some of the months",Yes,Gampaha
Online,1980 - 1989,House was designed barely to pass the statutory requirements of the local authorities,Single House - Single Floor,1,200,Son/daughter,Male,University,Professional,40000,20000,Brick,Pergolas,Tile,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600,I am not aware of it,None of the above,Not using solar energy,I learnt the calculation by reading the monthly bill,We iron our clothes twice a week,We keep less than two-night lights on when sleeping,"Yes, some of the months",Yes,Ampara
Online,1980 - 1989,The house was designed by a certified architect,Single House -Double Floor,2,1500,Son/daughter,Female,Does not attend,Professional,150000,50000,Brick,"Pergolas, Transparent roofing parts, Window walls (the wall is covered more than 80% by windows)",Tile,0,I try to pay a rounded-off amount which is mostly lower than the bill (ex: 4500),Yes,Solar Energy,"Water heating, Outdoor lighting, Cooking",LECO/ CEB described to me how the bill is calculated,We iron the cloths daily,We keep more than two lights on when sleeping,Never,Yes,Gampaha
Online,2010 - 2019,No such professional designing was done; the house was designed to suit our needs and wants,Single House -Double Floor,2,2500,Son/daughter,Male,University,"Legislator, senior official, and manager",50000,70000,Cement Block,Other,Asbestos,4,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600,No,Other green energy sources,Not using solar energy,I learnt the calculation by reading the monthly bill,We iron the cloths daily,We keep less than two-night lights on when sleeping,"Yes, some of the months",Yes,Colombo
Online,2000 - 2009,No such professional designing was done; the house was designed to suit our needs and wants,Single House - Single Floor,1,3500,Son/daughter,Male,Does not attend,Professional,35000,30000,Cabook,None,Tile,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600,No,None of the above,Not using solar energy,I got to know through the media,We iron when and where the need arises,We don’t keep any of the lights on when sleeping,"Rarely, once a year",Yes,Kalutara
Online,2000 - 2009,"House was not specifically designed by an architect, but the plan was inspected by a certified architect/engineer",Single House - Single Floor,1,1000,Son/daughter,Male,Does not attend,Skilled agricultural and fishery worker,45000,50000,Brick,Transparent walls (clear glass/ semi-transparent glass),Tile,5,I try to pay a portion of my bill amount that is possible for me (ex: 3500),I am not aware of it,Electricity grid power,Not using solar energy,I am not aware of how the bill is calculated,We don’t iron cloths,We don’t keep any of the lights on when sleeping,"Yes, every month",Yes,Matara
Online,1990 - 1999,I am not aware of it,Single House -Double Floor,2,6000,Son/daughter,Male,Does not attend,Professional,25000,40000,Cement Block,None,Tile,0,I try to pay a portion of my bill amount that is possible for me (ex: 3500),Yes,Electricity grid power,Not using solar energy,I learnt the calculation by reading the monthly bill,We iron when and where the need arises,We don’t keep any of the lights on when sleeping,"Yes, some of the months",No,Matara
Online,After 2019,The house was designed by a certified architect,Single House -Double Floor,2,1500,Son/daughter,Male,Does not attend,Professional,50000,100000,Brick,Window walls (the wall is covered more than 80% by windows),Asbestos,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600,Yes,Electricity grid power,Water heating,I got to know through the media,We iron when and where the need arises,We keep more than two lights on when sleeping,"Yes, every month",Yes,Gampaha
Online,1990 - 1999,"House was not specifically designed by an architect, but the plan was inspected by a certified architect/engineer",Single House -Double Floor,3,6000,Son/daughter,Male,University,Professional,50000,20000,Cement Block,Pergolas,Asbestos,0,I try to pay a portion of my bill amount that is possible for me (ex: 3500),Yes,Electricity grid power,Not using solar energy,I learnt the calculation by reading the monthly bill,We iron when and where the need arises,We don’t keep any of the lights on when sleeping,Never,Yes,Colombo
Online,2000 - 2009,The house was designed by a certified architect,Single House -Double Floor,2,3000,Head of the household,Male,University,Professional,200000,100000,Brick,Other,Asbestos,12,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600,Yes,Electricity grid power,"Water heating, Outdoor lighting",I learnt the calculation by reading the monthly bill,We iron when and where the need arises,We keep less than two-night lights on when sleeping,Never,No,Colombo
Online,2000 - 2009,The house was designed by a certified architect,Single House -Double Floor,1,500,Son/daughter,Female,University,Professional,60000,50000,Cement Block,Window walls (the wall is covered more than 80% by windows),Tile,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600,Yes,Electricity grid power,Car charging,I am not aware of how the bill is calculated,We iron the clothes weekly,We keep less than two-night lights on when sleeping,"Rarely, once a year",Yes,Galle
Phone,2000 - 2009,"House was not specifically designed by an architect, but the plan was inspected by a certified architect/engineer",Single House - Single Floor,1,2000,Son/daughter,Male,University,Professional,50000,70000,Cement Block,Window walls (the wall is covered more than 80% by windows),Tile,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600,Yes,None of the above,Not using solar energy,I got to know through the media,We iron when and where the need arises,We keep less than two-night lights on when sleeping,"Rarely, once a year",Yes,Colombo
Phone,2010 - 2019,The house was designed by a certified architect,Single House - Above double floor,3,2600,Son/daughter,Male,Does not attend,"Legislator, senior official, and manager",250000,350000,Brick,"Transparent roofing parts, Transparent walls (clear glass/ semi-transparent glass), Window walls (the wall is covered more than 80% by windows)",Asbestos,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600,Yes,Electricity grid power,Not using solar energy,I learnt the calculation by reading the monthly bill,We iron our clothes twice a week,We keep more than two lights on when sleeping,Never,Yes,Kurunegala
Phone,1980 - 1989,House was designed barely to pass the statutory requirements of the local authorities,Single House -Double Floor,2,800,Son/daughter,Male,Does not attend,No occupation,50000,20000,Cement Block,"Transparent walls (clear glass/ semi-transparent glass), Window walls (the wall is covered more than 80% by windows), Other",Asbestos,3,I try to pay the exact amount in the bill (ex: 4566),Yes,"Electricity grid power, Solar Energy",Water heating,I learnt the calculation by reading the monthly bill,We iron when and where the need arises,We keep less than two-night lights on when sleeping,"Rarely, once a year",No,Colombo
Phone,1990 - 1999,"House was not specifically designed by an architect, but the plan was inspected by a certified architect/engineer",Single House - Single Floor,1,2500,Son/daughter,Male,University,Professional,30000,50000,Brick,Window walls (the wall is covered more than 80% by windows),Tile,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600,Yes,Electricity grid power,Not using solar energy,I learnt the calculation by reading the monthly bill,We iron when and where the need arises,We don’t keep any of the lights on when sleeping,"Rarely, once a year",No,Hambantota
Phone,2000 - 2009,The house was designed by a certified architect,Single House - Above double floor,3,0,Son/daughter,Male,University,Professional,0,0,Brick,None,Asbestos,0,I try to pay the exact amount in the bill (ex: 4566),I am not aware of it,Electricity grid power,Not using solar energy,I got to know through another mean,We iron when and where the need arises,We keep less than two-night lights on when sleeping,"Yes, some of the months",No,Kandy
Phone,2000 - 2009,The house was designed by a certified architect,Single House -Double Floor,2,3500,Son/daughter,Female,University,"Legislator, senior official, and manager",60000,100000,Brick,Other,Asbestos,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600,Yes,Electricity grid power,Not using solar energy,I am not aware of how the bill is calculated,We iron when and where the need arises,We keep less than two-night lights on when sleeping,"Yes, every month",Yes,Matara
Phone,1990 - 1999,I am not aware of it,Single House -Double Floor,2,2500,Son/daughter,Male,University,Professional,40000,30000,Brick,Window walls (the wall is covered more than 80% by windows),Tile,0,I try to pay the exact amount in the bill (ex: 4566),Yes,None of the above,Not using solar energy,I am not aware of how the bill is calculated,We iron when and where the need arises,We don’t keep any of the lights on when sleeping,"Rarely, once a year",No,Colombo
Phone,2000 - 2009,The house was designed by a certified architect,Single House -Double Floor,0,7200,Son/daughter,Male,Does not attend,Professional,50000,50000,Brick,None,Asbestos,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600,Yes,Electricity grid power,Not using solar energy,I learnt the calculation by reading the monthly bill,We iron our clothes twice a week,We keep less than two-night lights on when sleeping,"Rarely, once a year",No,Gampaha
Phone,2000 - 2009,The house was designed by a certified architect,Flat,3,1200,Son/daughter,Male,University,Professional,90000,10000,Cement Block,Window walls (the wall is covered more than 80% by windows),Concrete,0,I try to pay the exact amount in the bill (ex: 4566),Yes,Electricity grid power,Not using solar energy,One of my family members taught me how the bill is calculated,We don’t iron cloths,We don’t keep any of the lights on when sleeping,"Rarely, once a year",Yes,Colombo
Phone,1990 - 1999,No such professional designing was done; the house was designed to suit our needs and wants,Single House - Single Floor,1,2450,Son/daughter,Male,Does not attend,Professional,50000,40000,Brick,None,Tile,0,I try to pay the exact amount in the bill (ex: 4566),I am not aware of it,Electricity grid power,Not using solar energy,I learnt the calculation by reading the monthly bill,We iron when and where the need arises,We don’t keep any of the lights on when sleeping,Never,No,Gampaha
Phone,2000 - 2009,"House was not specifically designed by an architect, but the plan was inspected by a certified architect/engineer",Single House -Double Floor,2,150,Son/daughter,Male,Does not attend,Professional,30000,30000,Brick,"Transparent roofing parts, Transparent walls (clear glass/ semi-transparent glass), Window walls (the wall is covered more than 80% by windows)",Asbestos,3,I try to pay a portion of my bill amount that is possible for me (ex: 3500),Yes,Electricity grid power,Not using solar energy,I learnt the calculation by reading the monthly bill,We iron when and where the need arises,We keep less than two-night lights on when sleeping,Never,Yes,Galle
Phone,1990 - 1999,"House was not specifically designed by an architect, but the plan was inspected by a certified architect/engineer",Single House -Double Floor,2,1000,Son/daughter,Male,University,"Legislator, senior official, and manager",60000,30000,Brick,Window walls (the wall is covered more than 80% by windows),Tile,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600,Yes,Electricity grid power,Not using solar energy,I am not aware of how the bill is calculated,We iron when and where the need arises,We keep less than two-night lights on when sleeping,"Yes, every month",Yes,Kandy
Phone,2000 - 2009,I am not aware of it,Single House - Above double floor,3,7000,Son/daughter,Male,University,Professional,25000,100000,Brick,Transparent walls (clear glass/ semi-transparent glass),Asbestos,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600,Yes,"Electricity grid power, Solar Energy",Outdoor lighting,I am not aware of how the bill is calculated,We iron the clothes weekly,We keep less than two-night lights on when sleeping,"Yes, every month",Yes,Gampaha
Phone,1990 - 1999,"House was not specifically designed by an architect, but the plan was inspected by a certified architect/engineer",Single House -Double Floor,2,2000,Parents of the head of the household/spouse,Male,Does not attend,Professional,20000,100000,Cement Block,Window walls (the wall is covered more than 80% by windows),Tile,0,I try to pay the exact amount in the bill (ex: 4566),Yes,Electricity grid power,Not using solar energy,I got to know through the media,We iron the cloths daily,We keep less than two-night lights on when sleeping,Never,No,Kurunegala
Phone,After 2019,"House was not specifically designed by an architect, but the plan was inspected by a certified architect/engineer",Single House -Double Floor,2,460,Head of the household,Male,Other educational institution,Technician and associate professional,30000,30000,Brick,Other,Tile,0,I try to pay a portion of my bill amount that is possible for me (ex: 3500),Yes,Electricity grid power,Not using solar energy,I learnt the calculation by reading the monthly bill,We iron when and where the need arises,We keep less than two-night lights on when sleeping,"Yes, some of the months",Yes,Gampaha
F2F,1980 - 1989,Other,Single House - Single Floor,1,875,Parents of the head of the household/spouse,Male,University,Professional,50000,65000,Brick,Window walls (the wall is covered more than 80% by windows),Asbestos,0,I try to pay the exact amount in the bill (ex: 4566),Yes,None of the above,Not using solar energy,I learnt the calculation by reading the monthly bill,We iron when and where the need arises,We don’t keep any of the lights on when sleeping,Never,No,Ratnapura
F2F,2010 - 2019,The house was designed by a certified architect,Single House -Double Floor,2,1700,Son/daughter,Male,Does not attend,Professional,30000,25000,Cement Block,Window walls (the wall is covered more than 80% by windows),Asbestos,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600,I am not aware of it,Electricity grid power,"Water heating, Outdoor lighting, Cooking",I am not aware of how the bill is calculated,We iron when and where the need arises,We keep more than two lights on when sleeping,"Yes, some of the months",No,Kurunegala
F2F,After 2019,The house was designed by a certified architect,Single House -Double Floor,2,2300,Head of the household,Male,University,Professional,40000,30000,Brick,Transparent walls (clear glass/ semi-transparent glass),Asbestos,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600,Yes,"Electricity grid power, Solar Energy","Outdoor lighting, Cooking",I learnt the calculation by reading the monthly bill,We iron when and where the need arises,We keep less than two-night lights on when sleeping,"Rarely, once a year",Yes,Kurunegala
F2F,1990 - 1999,I am not aware of it,Single House -Double Floor,2,1500,Son/daughter,Male,University,Professional,40000,10000,Brick,Transparent roofing parts,Concrete,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600,Yes,Electricity grid power,Not using solar energy,I got to know through the media,We iron our clothes twice a week,We don’t keep any of the lights on when sleeping,"Yes, some of the months",Yes,Colombo
F2F,1990 - 1999,No such professional designing was done; the house was designed to suit our needs and wants,Single House - Single Floor,1,2500,Son/daughter,Male,University,Professional,30000,20000,Cement Block,Other,Asbestos,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600,Yes,Electricity grid power,Not using solar energy,I got to know through the media,We iron when and where the need arises,We don’t keep any of the lights on when sleeping,Never,Yes,Ratnapura
F2F,2000 - 2009,The house was designed by a certified architect,Single House -Double Floor,2,0,Son/daughter,Female,Does not attend,Professional,75000,75000,Brick,"Transparent walls (clear glass/ semi-transparent glass), Window walls (the wall is covered more than 80% by windows)",Concrete,0,I try to pay the exact amount in the bill (ex: 4566),Yes,"Electricity grid power, Solar Energy","Water heating, Outdoor lighting, Car charging, Cooking",One of my family members taught me how the bill is calculated,We iron the cloths daily,We keep less than two-night lights on when sleeping,"Yes, every month",Yes,Colombo
F2F,2000 - 2009,"House was not specifically designed by an architect, but the plan was inspected by a certified architect/engineer",Single House -Double Floor,2,2000,Parents of the head of the household/spouse,Male,University,Professional,25000,20000,Cabook,None,Tile,1,I try to pay a rounded-off amount which is mostly lower than the bill (ex: 4500),Yes,Electricity grid power,Not using solar energy,One of my family members taught me how the bill is calculated,We iron when and where the need arises,We don’t keep any of the lights on when sleeping,"Rarely, once a year",Yes,Colombo
F2F,2000 - 2009,"House was not specifically designed by an architect, but the plan was inspected by a certified architect/engineer",Single House -Double Floor,2,1500,Son/daughter,Male,University,Professional,50000,100000,Brick,Window walls (the wall is covered more than 80% by windows),Asbestos,1,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600,Yes,Electricity grid power,Not using solar energy,I learnt the calculation by reading the monthly bill,We iron when and where the need arises,We keep less than two-night lights on when sleeping,Never,Yes,Gampaha
